NazwaInstytucji,NrRozliczeniowy,Miejscowosc
ING Bank Śląski Spółka Akcyjna,10501285,"Gliwice, Rynek 10, 44-100"
Bank Spółdzielczy w Kołaczycach,86260002,"Kołaczyce, ul. Rynek 2, 38-213"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10202401,"Gliwice, ul. Dworcowa 25, 44-100"
Alior Bank Spółka Akcyjna,17100007,"Warszawa, ul. Łopuszańska 38D, 02-232"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10201169,"Warszawa, ul. Wałbrzyska 11, 02-739"
Wschodni Bank Spółdzielczy w Chełmie,81870004,"Chełm, ul. Lubelska 11, 22-100"
Mikołowski Bank Spółdzielczy w Mikołowie,84680000,"Wodzisław Śląski, ul. Lucjana Mendego 26, 44-300"
Bank Spółdzielczy w Jarosławiu,90960004,"Jarosław, ul. Słowackiego 7, 37-500"
Bank Spółdzielczy w Strzelnie,81590003,"Strzelno, ul. J.Cieślewicza 3, 88-320"
Bank Polska Kasa Opieki Spółka Akcyjna,12404113,"Bielsko-Biała, ul. Grażyńskiego 141, 43-300"
Bank Spółdzielczy w Mszanie Dolnej,88080006,"Mszana Dolna, ul. Maksymiliana Marii Kolbego 13, 34-730"
BNP Paribas Bank Polska Spółka Akcyjna,16001420,"Kraków, ul. Bonarka 8, 30-415"
Bank Spółdzielczy w Lubartowie,87071032,"Ostrów Lubelski, ul. Pod Lipami 4, 21-110"
Bank Polska Kasa Opieki Spółka Akcyjna,12402526,"Lublin, ul. 1 Maja 10, 20-410"
Bank Spółdzielczy w Jaworze,86471020,"Mściwojów, Mściwojów 40A, 59-407"
Rejonowy Bank Spółdzielczy w Lututowie,90291023,"Piątek, ul. Senatorska 1, 99-120"
Bank Polska Kasa Opieki Spółka Akcyjna,12403145,"Tomaszów Mazowiecki, ul. Mościckiego 31, 97-200"
Bank Gospodarstwa Krajowego,11301134,"Gdańsk, ul. Kowalska 10, 80-846"
Bank Polska Kasa Opieki Spółka Akcyjna,12405644,"Płock, ul. Tysiąclecia 10, 09-400"
Bank Polska Kasa Opieki Spółka Akcyjna,12404591,"Kraków, Osiedle Tysiąclecia 42, 31-610"
Bank Gospodarstwa Krajowego,11301046,"Poznań, ul. Składowa 5, 61-888"
Bank Pocztowy Spółka Akcyjna,13201452,"Bydgoszcz, ul. Jagiellońska 17, 85-959"
Bank Spółdzielczy w Mszczonowie,93020004,"Mszczonów, ul. Warszawska 5, 96-320"
ING Bank Śląski Spółka Akcyjna,10500392,"Katowice, ul. Chorzowska 50, 40-101"
Bank Spółdzielczy w Tarnogrodzie,96371011,"Potok Górny, Potok Górny 116, 23-423"
Bank Polska Kasa Opieki Spółka Akcyjna,12405396,"Gdynia, ul. Świętojańska 47, 81-391"
Bank Spółdzielczy w Sochaczewie,92830006,"Sochaczew, ul. Władysława Reymonta 18, 96-500"
Bank Spółdzielczy Rzemiosła w Krakowie,85890006,"Kraków, ul. Dunajewskiego 7, 31-133"
Spółdzielcza Kasa Oszczędnościowo-Kredytowa im. Eugeniusza Kwiatkowskiego,71830001,"Rzeszów, ul. Ludwika Zamenhofa 3, 35-065"
Bank Polska Kasa Opieki Spółka Akcyjna,12403712,"Wałcz, ul. Bankowa 3/5, 78-600"
ING Bank Śląski Spółka Akcyjna,10501823,"Białystok, ul. Jana Klemensa Branickiego 17B, 15-085"
Bank Spółdzielczy w Krasnymstawie,82001034,"Fajsławice, Fajsławice 106, 21-060"
Bank Spółdzielczy w Czyżewie,87471018,"Boguty, al. Jana Pawła II 55, 07-325"
Santander Bank Polska Spółka Akcyjna,10901274,"Kościan, al. Kościuszki 2, 64-000"
ING Bank Śląski Spółka Akcyjna,10501360,"Sosnowiec, ul. Stanisława Małachowskiego 7, 41-200"
Bank Polska Kasa Opieki Spółka Akcyjna,12405165,"Zakopane, ul. Krupówki 19, 34-500"
Santander Bank Polska Spółka Akcyjna,15001487,"Kraków, ul. Kapelanka 17, 30-347"
Santander Bank Polska Spółka Akcyjna,10902372,"Ząbkowice Śląskie, ul. Legnicka 3, 57-200"
Alior Bank Spółka Akcyjna,10600106,"Warszawa, ul. Łopuszańska 38D, 02-232"
BNP Paribas Bank Polska Spółka Akcyjna,23400012,"Warszawa, ul. Puławska 10, 02-566"
Bank Polska Kasa Opieki Spółka Akcyjna,12404432,"Kraków, ul. Józefińska 18, 30-955"
Santander Bank Polska Spółka Akcyjna,10902154,"Głubczyce, ul. Powstańców 4, 48-100"
Bank Polska Kasa Opieki Spółka Akcyjna,12402223,"Chełm, ul. Kopernika 20, 22-100"
Bank Spółdzielczy w Świeciu,81680007,"Świecie, ul. Wojska Polskiego 127A, 86-100"
Santander Bank Polska Spółka Akcyjna,10902138,"Opole, ul. Ozimska 6, 45-057"
Bank Spółdzielczy w Żurominie,82421018,"Kuczbork-Osada, ul. Adama Mickiewicza 7g, 09-310"
Santander Bank Polska Spółka Akcyjna,10902112,"Głogów, ul. Obrońców Pokoju 12, 67-200"
Orzesko-Knurowski Bank Spółdzielczy  z siedzibą w Knurowie,84540001,"Knurów, ul. Szpitalna 8a, 44-190"
Bank Spółdzielczy w Jaworze,86471017,"Męcinka, Męcinka 12, 59-424"
Bank Spółdzielczy w Mielcu,91831044,"Borowa, Borowa 268, 39-305"
PLUS BANK Spółka Akcyjna,16800010,"Warszawa, Al. Stanów Zjednoczonych 61A, 04-028"
Bank Spółdzielczy w Tomaszowie Lubelskim,96391035,"Jarczów, ul. Kopernika 2, 22-664"
Bank Polska Kasa Opieki Spółka Akcyjna,12404461,"Kraków, ul. Gronostajowa 3, 30-387"
BNP Paribas Bank Polska Spółka Akcyjna,17501396,"Koszalin, ul. Aleja Armii Krajowej 8, 75-200"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10200045,"Warszawa, ul. Puławska 15, 00-975"
Toyota Bank Polska Spółka Akcyjna,21600003,"Warszawa, ul. Postępu 18B, 02-676"
Bank Polska Kasa Opieki Spółka Akcyjna,12401271,"Gdańsk, ul. Kołobrzeska 43, 80-391"
Bank Spółdzielczy w Lubaczowie,91011026,"Oleszyce, Rynek   21A, 37-630"
Bank Spółdzielczy w Rutce-Tartak,93670007,"Suwałki, ul. Sejneńska 2, 16-400"
Bank Spółdzielczy w Wolinie,93830007,"Międzyzdroje, ul. Światowida 19, 72-500"
POZNAŃSKI BANK SPÓŁDZIELCZY,90431012,"Dopiewo, ul. Konarzewska 12, 62-070"
Bank Polska Kasa Opieki Spółka Akcyjna,12405556,"Łódź, ul. Wyszyńskiego 63, 94-047"
Bank Spółdzielczy w Stopnicy,85190005,"Stopnica, pl. Piłsudskiego 27, 28-130"
Bank Spółdzielczy w Świdnicy,95311029,"Marcinowice, ul. Juliana Tuwima 4, 58-124"
Santander Bank Polska Spółka Akcyjna,15002266,"Otwock, ul. Karczewska 11A, 05-400"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10204160,"Śrem, ul. Mickiewicza 85, 63-100"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10202528,"Tychy, ul. Dmowskiego 27, 43-100"
Powiatowy Bank Spółdzielczy w Gostyniu,86630007,"Góra, ul. Obrońców Lwowa 5, 56-200"
BNP Paribas Bank Polska Spółka Akcyjna,16001228,"Warszawa, ul. Marszałkowska 68/70, 00-545"
ING Bank Śląski Spółka Akcyjna,10501676,"Żory, ul. Aleja Jana Pawła II 41, 44-240"
Bank Polska Kasa Opieki Spółka Akcyjna,12403839,"Goleniów, ul. Konstytucji 3 Maja 24, 72-100"
Gospodarczy Bank Spółdzielczy w Barlinku,83551022,"Krzeszyce, ul. Gorzowska 7, 66-435"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10204128,"Szamotuły, ul. Poznańska 1, 64-500"
Bank Spółdzielczy w Oleśnicy,95841119,"Mietków, ul. Kolejowa 29, 55-081"
mBank Spółka Akcyjna,11401892,"Aleksandrów Łódzki, ul. Piotrkowska 22, 95-070"
Santander Bank Polska Spółka Akcyjna,10901607,"Wolsztyn, Rynek 7, 64-200"
Bank Polska Kasa Opieki Spółka Akcyjna,12405569,"Łódź, ul. Aleksandrowska 38, 90-341"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10202733,"Jędrzejów, ul. 11 Listopada 36, 28-300"
Bank Spółdzielczy we Włoszczowie,82761013,"Dąbrowa Zielona, Plac Kościuszki 45, 42-265"
Bank Pocztowy Spółka Akcyjna,13201856,"Bydgoszcz, ul. Jagiellońska 17, 85-959"
Bank Spółdzielczy w Rzeszowie,91621010,"Sieniawa, ul. Jana Pawła II 1/1, 37-530"
Bank Polska Kasa Opieki Spółka Akcyjna,12405989,"Warszawa, ul. Marszałkowska 111, 00-950"
Bank Pocztowy Spółka Akcyjna,13201537,"Bydgoszcz, ul. Jagiellońska 17, 85-959"
Bank Polska Kasa Opieki Spółka Akcyjna,12406494,"Gorzów Wielkopolski, ul. Fabryczna 12, 66-400"
Bank Polska Kasa Opieki Spółka Akcyjna,12401590,"Olsztyn, ul. 1 Maja 10, 10-118"
Bank Spółdzielczy w Proszowicach,85970001,"Proszowice, ul. Krakowska 53, 32-100"
Bank Pocztowy Spółka Akcyjna,13201449,"Bydgoszcz, ul. Jagiellońska 17, 85-959"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10203916,"Piotrków Trybunalski, ul. Gabriela Narutowicza 9/13, 97-300"
Bank Polska Kasa Opieki Spółka Akcyjna,12400027,"Warszawa, ul. Żubra 1, 01-066"
Bank Spółdzielczy w Starej Białej,90380004,"Biała, ul. Bankowa 1, 09-411"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10201260,"Biała Podlaska, ul. Brzeska 27, 21-500"
BNP Paribas Bank Polska Spółka Akcyjna,16001084,"Poznań, ul. Bóżnicza 1, 61-751"
Bank Pocztowy Spółka Akcyjna,13201104,"Bydgoszcz, ul. Jagiellońska 17, 85-959"
Bank Polska Kasa Opieki Spółka Akcyjna,12401301,"Jelenia Góra, Plac Księdza Kardynała Stefana Wyszyńskiego 35, 58-500"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10205112,"Kłodzko, pl. Jedności 4A, 57-300"
Bank Polska Kasa Opieki Spółka Akcyjna,12406364,"Piaseczno, ul. Jana Pawła II 2, 05-500"
Bank Spółdzielczy w Skoczowie,81261020,"Brenna, ul. Wyzwolenia 97, 43-438"
Bank Spółdzielczy w Malborku,83031029,"Młynary, ul. Konopnickiej 2, 14-420"
Narodowy Bank Polski,10101469,"Poznań, Aleje Karola Marcinkowskiego 12, 61-827"
Santander Bank Polska Spółka Akcyjna,10902053,"Kraków, ul. Pawia 24, 31-154"
Bank Polska Kasa Opieki Spółka Akcyjna,12401910,"Tarnów, pl. Kazimierza Wielkiego 3A, 33-100"
Bank Polska Kasa Opieki Spółka Akcyjna,12403679,"Szczecinek, ul. Mickiewicza 1, 78-400"
SGB-Bank Spółka Akcyjna,16100048,"Przemków, ul. Głogowska 12A, 59-170"
Bank Polska Kasa Opieki Spółka Akcyjna,12406986,"Warszawa, ul. Żubra 1, 01-066"
Santander Bank Polska Spółka Akcyjna,10901519,"Włocławek, ul. Kościuszki 6, 87-810"
Bank Polska Kasa Opieki Spółka Akcyjna,12404546,"Kraków, ul. Conrada 63, 31-357"
Bank Spółdzielczy w Szczytnie,88381031,"Biskupiec, ul. Pionierów 6, 11-300"
Bank Spółdzielczy w Przecławiu,91840004,"Przecław, ul. Krótka 2, 39-320"
"Bank Spółdzielczy ""MAZOWSZE"" w Płocku",90421013,"Radzanowo, ul. Kredytowa 2, 09-451"
ING Bank Hipoteczny Spółka Akcyjna,27800005,"Katowice, ul. Chorzowska 50, 40-101"
Bank Spółdzielczy w Tomaszowie Lubelskim,96391064,"Tarnawatka, ul. Lubelska 39, 22-604"
Bank Polska Kasa Opieki Spółka Akcyjna,12404836,"Sosnowiec, ul. Małachowskiego 3, 41-200"
ING Bank Śląski Spółka Akcyjna,10501315,"Pszczyna, ul. Dworcowa 8, 43-200"
Bank Spółdzielczy w Jaworze,86471046,"Strzegom, Rynek 38, 58-150"
Bank Polska Kasa Opieki Spółka Akcyjna,12404171,"Oświęcim, ul. Władysława Jagiełły 12, 32-600"
Zachodniopomorska Spółdzielcza Kasa Oszczędnościowo-Kredytowa,71440008,"Szczecin, ul. Czorsztyńska 17, 71-201"
Bank Polska Kasa Opieki Spółka Akcyjna,12405181,"Mielec, ul. Obrońców Pokoju 7, 39-300"
Hexa Bank Spółdzielczy,87621022,"Stawiski, ul. Wiejska 4, 18-520"
Bank Spółdzielczy w Lubeni,91610001,"Lubenia, Lubenia 142, 36-042"
Bank Spółdzielczy w Witkowie,85381012,"Dąbie, ul. 3 Maja 3, 62-660"
ING Bank Śląski Spółka Akcyjna,10500451,"Katowice, ul. Chorzowska 50, 40-101"
Santander Bank Polska Spółka Akcyjna,15001214,"Rybnik, pl. Wolności 19, 44-200"
Bank Spółdzielczy w Żaganiu,96570007,"Żagań, ul. Skarbowa 6, 68-100"
Bank Spółdzielczy w Leśnicy,89071047,"Dobrodzień, ul. Oleska 12, 46-380"
Bank Spółdzielczy w Sędziszowie Młp.,91720003,"Sędziszów Małopolski, ul. 3-go Maja 18, 39-120"
Bank Spółdzielczy w Wąsewie,89300004,"Wąsewo, ul. Zastawska 8, 07-311"
SGB-Bank Spółka Akcyjna,16100006,"Poznań, ul. Szarych Szeregów 23A, 60-462"
Powiślański Bank Spółdzielczy w Kwidzynie,83000009,"Kwidzyn, ul. Kopernika 28, 82-500"
Bank Spółdzielczy Ziemi Kraśnickiej  w Kraśniku,87171123,"Modliborzyce, ul. Janowska 2, 23-310"
Bank Handlowy w Warszawie Spółka Akcyjna,10301090,"Bydgoszcz, ul. Jagiellońska 21, 85-950"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10204795,"Szczecin, al. Niepodległości 44, 70-404"
ING Bank Śląski Spółka Akcyjna,10500321,"Katowice, ul. Chorzowska 50, 40-101"
Credit Agricole Bank Polska Spółka Akcyjna,19401207,"Wrocław, pl. Orląt Lwowskich 1, 53-605"
Lubelski Bank Spółdzielczy,87360006,"Puławy, al. Partyzantów 4, 24-100"
Narodowy Bank Polski,10101674,"Wrocław, ul. Ofiar Oświęcimskich 41/43, 50-059"
Bank Spółdzielczy w Radzyniu Podlaskim,80461070,"Komarówka Podlaska, ul. Krótka 2, 21-311"
Podhalański Bank Spółdzielczy w Zakopanem,88210009,"Zakopane, ul. Kościuszki 2, 34-500"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,14401013,"Żukowo, ul. Sienkiewicza 12, 83-330"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10200191,"Olsztyn, ul. Jasna 13, 10-427"
Alior Bank Spółka Akcyjna,10602780,"Warszawa, ul. Łopuszańska 38D, 02-232"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10201491,"Chojnice, ul. Sukienników 10, 89-600"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10205024,"Brodnica, ul. Mostowa 2, 87-300"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10200003,"Warszawa, ul. Puławska 15, 02-515"
Bank Spółdzielczy w Czarnkowie,89510009,"Czarnków, ul. Kościuszki 5, 64-700"
EXPRESS BANK SPÓŁDZIELCZY,91761019,"Rzeszów, ul. Rejtana 49/11B, 35-326"
BNP Paribas S.A. Oddział w Polsce ,23500015,"Warszawa, pl. Piłsudskiego 1, 00-078"
Santander Bank Polska Spółka Akcyjna,10902558,"Żagań, pl. Wolności 6, 68-100"
Santander Bank Polska Spółka Akcyjna,10902040,"Kielce, ul.Sienkiewicza  78, 25-501"
Santander Bank Polska Spółka Akcyjna,15001562,"Olsztyn, ul. Seweryna Pieniężnego 14, 10-006"
Bank Gospodarstwa Krajowego,11301176,"Szczecin, ul. Tkacka 4, 70-556"
Santander Bank Polska Spółka Akcyjna,15001429,"Jelenia Góra, pl. Niepodległości 4, 58-500"
Hexa Bank Spółdzielczy,87621019,"Wizna, pl. Kpt.Raginisa 32, 18-430"
Międzypowiatowy Bank Spółdzielczy w  Myszkowie,82880004,"Koszęcin, ul. Sienkiewicza 1, 42-286"
Bank Spółdzielczy w Ostrowi Mazowieckiej,89231076,"Somianka, Aleja Klonowa  5, 07-203"
Bank Polska Kasa Opieki Spółka Akcyjna,12405077,"Myślenice, ul. Konstantego Ildefonsa Gałczyńskiego 9, 32-400"
"Bank Spółdzielczy ""MAZOWSZE"" w Płocku",90421084,"Pacyna, ul. Wyzwolenia 9, 09-541"
BNP Paribas Bank Polska Spółka Akcyjna,16001417,"Pruszków, ul. Niecała 10, 05-800"
Bank Polska Kasa Opieki Spółka Akcyjna,12406625,"Poznań, ul. Franklina Roosevelta 18, 60-829"
Bank Spółdzielczy Ziem Górskich KARPATIA,88090005,"Muszyna, ul. Piłsudskiego 8, 33-370"
Ludowy Bank Spółdzielczy w Zduńskiej Woli,92790007,"Zduńska Wola, ul. Dąbrowskiego 31, 98-220"
Bank Spółdzielczy w Grójcu,91280002,"Grójec, ul. Jatkowa 3, 05-600"
Bank Spółdzielczy w Ełku,93310004,"Ełk, ul. Adama Mickiewicza 15, 19-300"
Bank Spółdzielczy w Dynowie,90931033,"Kańczuga, ul. Rynek 22, 37-220"
Bank Spółdzielczy w Kłobucku,82480002,"Kłobuck, ul. Bohaterów Bitwy pod Mokrą 2, 42-100"
Bank Polska Kasa Opieki Spółka Akcyjna,12402874,"Opole Lubelskie, ul. Lubelska 12, 24-300"
Bank Polska Kasa Opieki Spółka Akcyjna,12406175,"Warszawa, ul. Krucza 50, 00-025"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10201866,"Kartuzy, Rynek 3A, 83-300"
Bank Spółdzielczy w Rajczy,81251018,"Ujsoły, ul. Gminna 1, 34-371"
Bank Spółdzielczy w Jaworznie,84450007,"Jaworzno, ul. Stojałowskiego 10, 43-600"
mBank Spółka Akcyjna,11402088,"Toruń, ul. Bydgoska 1, 87-100"
Bank Polska Kasa Opieki Spółka Akcyjna,12406827,"Wrocław, ul. Legnicka 62, 54-204"
Bank Polska Kasa Opieki Spółka Akcyjna,12403275,"Sieradz, ul. Jana Pawła II 52, 98-200"
Bank Polska Kasa Opieki Spółka Akcyjna,12404168,"Oświęcim, ul. Władysława Jagiełły 12, 32-600"
Powiatowy Bank Spółdzielczy w Zamościu,96441020,"Grabowiec, ul. Rynek 2, 22-425"
Bank Polska Kasa Opieki Spółka Akcyjna,12402959,"Katowice, ul. Warszawska 8, 40-950"
ING Bank Śląski Spółka Akcyjna,10500305,"Katowice, ul. Chorzowska 50, 40-101"
Bank Polska Kasa Opieki Spółka Akcyjna,12401561,"Gorlice, ul. Władysława Jagiełły 6, 38-300"
Bank Polska Kasa Opieki Spółka Akcyjna,12405790,"Słupsk, ul. Juliana Tuwima 30, 76-200"
Santander Bank Polska Spółka Akcyjna,10901115,"Słubice, ul. Kościuszki 2, 69-100"
Bank Spółdzielczy w Brzegu,88630009,"Brzeg, ul. Bolesława Chrobrego 11, 49-301"
Bank Spółdzielczy w Głogowie Małopolskim,91591049,"Raniżów, ul. Armii Krajowej 4, 36-130"
Ludowy Bank Spółdzielczy w Strzałkowie,85430000,"Strzałkowo, ul. Kolejowa 2A, 62-420"
Narodowy Bank Polski,10101078,"Bydgoszcz, ul. Jagiellońska 8, 85-067"
Spółdzielcza Kasa Oszczędnościowo-Kredytowa przy Dezamet S.A. w Nowej Dębie,71050005,"Nowa Dęba, ul. Tadeusza Kościuszki 1, 39-460"
Santander Bank Polska Spółka Akcyjna,10901939,"Bolesławiec, ul. Bankowa 12, 59-700"
Nest Bank Spółka Akcyjna,18700006,"Warszawa, ul. Wołoska 24, 02-675"
Bank Spółdzielczy w Białej Podlaskiej,80251020,"Zalesie, ul. Warszawska 34, 21-512"
Powiatowy Bank Spółdzielczy w Zamościu,96150007,"Komarów, ul. Piłsudskiego 2, 22-435"
Bank Spółdzielczy w Sieradzu,92670006,"Sieradz, ul. Zamkowa 2, 98-200"
Bank Spółdzielczy Daleszyce-Górno,84850009,"Daleszyce, pl. Staszica 32, 26-021"
Bank Polska Kasa Opieki Spółka Akcyjna,12401529,"Puławy, al. Partyzantów 8, 24-100"
Santander Consumer Bank Spółka Akcyjna,19600017,"Wrocław, ul. Strzegomska 42c, 53-611"
Bank Spółdzielczy w Rabie Wyżnej,88150002,"Raba Wyżna, Raba Wyżna 30, 34-721"
Bank Spółdzielczy w Jedwabnem,87521016,"Radziłów, ul. Karwowska 13, 19-213"
Bank Spółdzielczy w Tarczynie,80080008,"Tarczyn, ul. Stępkowskiego 4, 05-555"
Bank Polska Kasa Opieki Spółka Akcyjna,12405325,"Maków Mazowiecki, ul. Przasnyska 18, 06-200"
Bank Spółdzielczy w Raciborzu,84751058,"Racibórz, ul. Bankowa 4, 47-400"
ING Bank Śląski Spółka Akcyjna,10501100,"Wadowice, ul. Lwowska 16, 34-100"
Bank Polska Kasa Opieki Spółka Akcyjna,12404009,"Toruń, ul. Wielkie Garbary 7, 87-100"
ING Bank Śląski Spółka Akcyjna,10500334,"Katowice, ul. Chorzowska 50, 40-101"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10200061,"Warszawa, ul. Puławska 15, 00-975"
Bank Spółdzielczy w Rzepinie,83711022,"Cybinka, ul. Szkolna 7, 69-108"
Bank Spółdzielczy w Sejnach,93541020,"Puńsk, ul. Mickiewicza 52, 16-515"
Bank Spółdzielczy w Brzegu,88860002,"Dąbrowa, Sztonyka 64, 49-120"
Bank Polska Kasa Opieki Spółka Akcyjna,12406814,"Wrocław, Rynek 1, 50-106"
Bank Polska Kasa Opieki Spółka Akcyjna,12405963,"Warszawa, ul. Marszałkowska 89, 00-693"
DNB Bank Polska Spółka Akcyjna,13701372,"Warszawa, ul. Postępu 15C, 02-676"
ING Bank Śląski Spółka Akcyjna,10500161,"Katowice, ul. Sokolska 34, 40-086"
ING Bank Śląski Spółka Akcyjna,10501487,"Krapkowice, ul. 1 Maja 2, 47-300"
Częstochowski Bank Spółdzielczy JURA BANK,82600006,"Poczesna, ul. Bankowa 1, 42-262"
Bank Polska Kasa Opieki Spółka Akcyjna,12402063,"Warszawa, Aleja Jana Pawła II 29, 00-867"
Spółdzielczy Bank Ludowy w Kępnie,84131094,"Doruchów, ul. Ostrzeszowska 3, 63-505"
Bank Spółdzielczy w Krzepicach,82501026,"Lipie, ul. Częstochowska 108, 42-165"
Santander Bank Polska Spółka Akcyjna,10902109,"Polkowice, Rynek 41B, 59-100"
Bank Spółdzielczy im.Stefczyka w Belsku Dużym,91160001,"Belsk Duży, ul. Nocznickiego 3, 05-622"
Bank Spółdzielczy Daleszyce-Górno,84851019,"Górno, ul. Szkolna 8, 26-008"
Alior Bank Spółka Akcyjna,24901044,"Warszawa, ul. Łopuszańska 38D, 02-232"
Bank Spółdzielczy w Kątach Wrocławskich,95740005,"Kąty Wrocławskie, ul. Rynek 4, 55-080"
Bank Gospodarstwa Krajowego,11301192,"Kielce, ul. Silniczna 5, 25-515"
Bank Gospodarstwa Krajowego,11300010,"Warszawa, Al. Jerozolimskie 7, 00-955"
China Construction Bank (Europe) S.A. (Spółka Akcyjna) Oddział w Polsce,27300000,"Warszawa, ul. Emilii Plater 53, 00-113"
Bank Spółdzielczy w Bartoszycach,88550004,"Bartoszyce, ul. Warszawska 1, 11-200"
ING Bank Śląski Spółka Akcyjna,10500480,"Katowice, ul. Chorzowska 50, 40-101"
Bank Polska Kasa Opieki Spółka Akcyjna,12406856,"Żagań, ul. Przyjaciół Żołnierza 24, 68-100"
Bank Spółdzielczy w Łomazach,80371021,"Terespol, ul. Wojska Polskiego 104, 21-550"
Bank Spółdzielczy w Ożarowie,94231010,"Ćmielów, ul. Sandomierska 19, 27-440"
Bank Spółdzielczy w Gorlicach,87950005,"Gorlice, ul. Stróżowska 1, 38-300"
Bank Spółdzielczy w Dobrzycy,84090001,"Dobrzyca, ul. Nowa 2, 63-330"
Bank Spółdzielczy w Niechobrzu,91630009,"Niechobrz, Niechobrz 118, 36-047"
Bank Spółdzielczy w Lubaczowie,91011039,"Horyniec-Zdrój, al. Przyjaźni 9A, 37-620"
Bank Ochrony Środowiska Spółka Akcyjna,15401160,"Poznań, ul. Dąbrowskiego 79A, 60-529"
Bank Polska Kasa Opieki Spółka Akcyjna,12402584,"Lubaczów, ul. Legionów 4, 37-600"
Bank Polska Kasa Opieki Spółka Akcyjna,12401138,"Warszawa, Aleja Jana Pawła II 29, 00-867"
Bank Polska Kasa Opieki Spółka Akcyjna,12404764,"Rzeszów, ul. Juliusza Słowackiego 5, 35-060"
Bank Polska Kasa Opieki Spółka Akcyjna,12405729,"Przysucha, ul. Krakowska 33, 26-400"
Bank Spółdzielczy w Ząbkowicach Śląskich,95331030,"Kamieniec Ząbkowicki, ul. Ząbkowicka 13, 57-230"
Santander Bank Polska Spółka Akcyjna,15001764,"Wałbrzych, ul. Janusza Kusocińskiego 11, 58-309"
Bank Spółdzielczy w Tarnobrzegu,94341067,"Baranów Sandomierski, ul. Rynek 8, 39-450"
Alior Bank Spółka Akcyjna,10600249,"Warszawa, ul. Łopuszańska 38D, 02-232"
Santander Bank Polska Spółka Akcyjna,15001461,"Konin, ul. Energetyka 6A, 62-510"
Santander Bank Polska Spółka Akcyjna,10901564,"Lubsko, ul. Wrocławska 10, 68-300"
Bank Spółdzielczy Ziemi Kraśnickiej  w Kraśniku,87171022,"Urzędów, ul. Partyzantów 1, 23-250"
Alior Bank Spółka Akcyjna,10600122,"Warszawa, ul. Łopuszańska 38D, 02-232"
Bank Handlowy w Warszawie Spółka Akcyjna,10301856,"Warszawa, ul. Goleszowska 6, 01-260"
Bank Polska Kasa Opieki Spółka Akcyjna,12403305,"Zduńska Wola, ul. Kilińskiego 7/11, 98-220"
Bank Spółdzielczy w Tarnobrzegu,94341096,"Stalowa Wola, ul. Okulickiego 82, 37-450"
Bank Polska Kasa Opieki Spółka Akcyjna,12401617,"Mrągowo, pl. Kajki 1, 11-700"
Santander Bank Polska Spółka Akcyjna,10901290,"Wschowa, ul. Niepodległości 3A, 67-400"
Bank Spółdzielczy w Krotoszynie,84100003,"Krotoszyn, ul. Piastowska 14, 63-700"
Bank Polska Kasa Opieki Spółka Akcyjna,12406566,"Poznań, ul. Głogowska 132/140, 60-243"
